OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
85;"Tram";"14";"14";3;"POINT(4.905703,52.367815)";"POINT(52.367815,4.905703)";"4,905703";"52,367815";
86;"Tram";"19";"19";3;"POINT(4.923985,52.361912)";"POINT(52.361912,4.923985)";"4,923985";"52,361912";
87;"Tram";"1 | 3 | 19";"01|03|19";3;"POINT(4.9253,52.360011)";"POINT(52.360011,4.9253)";"4,9253";"52,360011";
88;"Tram";"3 | 14";"03|14";3;"POINT(4.947757,52.364866)";"POINT(52.364866,4.947757)";"4,947757";"52,364866";
89;"Tram";"13";"13";3;"POINT(4.83811,52.371481)";"POINT(52.371481,4.83811)";"4,83811";"52,371481";
90;"Tram";"7";"07|14";3;"POINT(4.845753,52.37787)";"POINT(52.37787,4.845753)";"4,845753";"52,37787";
91;"Tram";"3 | 14";"03|14";3;"POINT(4.943728,52.362206)";"POINT(52.362206,4.943728)";"4,943728";"52,362206";
92;"Tram";"3 | 14";"03|14";3;"POINT(4.940099,52.36169)";"POINT(52.36169,4.940099)";"4,940099";"52,36169";
93;"Tram";"19";"19";3;"POINT(4.930968,52.353482)";"POINT(52.353482,4.930968)";"4,930968";"52,353482";
94;"Tram";"19";"19";3;"POINT(4.935169,52.350852)";"POINT(52.350852,4.935169)";"4,935169";"52,350852";
95;"Tram";"14";"14";3;"POINT(4.927677,52.365918)";"POINT(52.365918,4.927677)";"4,927677";"52,365918";
96;"Tram";"14";"14";3;"POINT(4.932681,52.365805)";"POINT(52.365805,4.932681)";"4,932681";"52,365805";
97;"Tram";"14";"14";3;"POINT(4.937672,52.36432)";"POINT(52.36432,4.937672)";"4,937672";"52,36432";
98;"Tram";"4 | 14 | 24";"04|14|24";3;"POINT(4.894056,52.373809)";"POINT(52.373809,4.894056)";"4,894056";"52,373809";
99;"Tram";"4 | 14 | 24 | 52";"04|14|24|52";3;"POINT(4.892383,52.369793)";"POINT(52.369793,4.892383)";"4,892383";"52,369793";
100;"Tram";"24";"24";3;"POINT(4.89322,52.366481)";"POINT(52.366481,4.89322)";"4,89322";"52,366481";
101;"Tram";"24";"24";3;"POINT(4.890706,52.357065)";"POINT(52.357065,4.890706)";"4,890706";"52,357065";
102;"Tram";"24";"24";3;"POINT(4.857702,52.341119)";"POINT(52.341119,4.857702)";"4,857702";"52,341119";
103;"Tram";"3 | 5 | 12";"03|05|12";3;"POINT(4.87973,52.35654)";"POINT(52.35654,4.87973)";"4,87973";"52,35654";
104;"Tram";"17";"17";3;"POINT(4.786916,52.355541)";"POINT(52.355541,4.786916)";"4,786916";"52,355541";
105;"Tram";"17";"17";3;"POINT(4.791589,52.356485)";"POINT(52.356485,4.791589)";"4,791589";"52,356485";
106;"Tram";"17";"17";3;"POINT(4.7991,52.357997)";"POINT(52.357997,4.7991)";"4,7991";"52,357997";
107;"Tram";"17";"17";3;"POINT(4.803208,52.359411)";"POINT(52.359411,4.803208)";"4,803208";"52,359411";
108;"Tram";"17";"17";3;"POINT(4.807562,52.359615)";"POINT(52.359615,4.807562)";"4,807562";"52,359615";
109;"Tram";"5 | 7 | 17 | 19";"05|07|17|19";3;"POINT(4.877957,52.3688)";"POINT(52.3688,4.877957)";"4,877957";"52,3688";
110;"Tram";"3 | 13 | 19";"03|13|19";3;"POINT(4.870338,52.370879)";"POINT(52.370879,4.870338)";"4,870338";"52,370879";
111;"Tram";"2";"02";3;"POINT(4.856601,52.351503)";"POINT(52.351503,4.856601)";"4,856601";"52,351503";
112;"Tram";"2";"02";3;"POINT(4.845334,52.351577)";"POINT(52.351577,4.845334)";"4,845334";"52,351577";
113;"Tram";"2";"02";3;"POINT(4.816064,52.346456)";"POINT(52.346456,4.816064)";"4,816064";"52,346456";
114;"Tram";"2";"02";3;"POINT(4.810925,52.346353)";"POINT(52.346353,4.810925)";"4,810925";"52,346353";
115;"Tram";"2";"02";3;"POINT(4.803959,52.344989)";"POINT(52.344989,4.803959)";"4,803959";"52,344989";
116;"Tram";"2";"02";3;"POINT(4.870705,52.356011)";"POINT(52.356011,4.870705)";"4,870705";"52,356011";
